BLOQUES,DIPUTADOS,"",P,A,L,M.O
Frente Cívico por Santiago,"ABDALA DE MATARAZZO, Norma Amanda","",7,"",1,""
Frente para la Victoria - PJ,"ABRAHAM, Alejandro","",8,"","",""
Unión PRO,"ACERENZA, Samanta María Celeste","",8,"","",""
Unión Cívica Radical,"ALBORNOZ, Gabriela Romina Observación: INCORPORADA EL 01/03/16.","",7,"","",""
"Federal Unidos por una NuevaArgentina","ALEGRE, Gilberto Oscar","",8,"","",""
Unión Cívica Radical,"ALFONSÍN, Ricardo","",8,"","",""
"Federal Unidos por una NuevaArgentina","ALONSO, Horacio Fernando Observación: INCORPORADO EL 01/03/16.","",7,"","",""
Frente para la Victoria - PJ,"ÁLVAREZ RODRIGUEZ, María Cristina","",7,"","",1
Unión PRO,"AMADEO, Eduardo Pablo","",8,"","",""
Compromiso Federal,"ARENAS, Berta Hortensia","",7,1,"",""
Proyecto Sur,"ARGUMEDO, Alcira Susana","",8,"","",""
Frente para la Victoria - PJ,"ARRIETA, Gustavo Héctor Observación: INCORPORADO EL 15/03/16.","",5,1,"",""
Unión Cívica Radical,"AUSTIN, Brenda Lis Observación: INCORPORADA EL 18/05/16","",3,"","",""
Unión PRO,"BALBO, Elva Susana","",8,"","",""
Unión PRO,"BALDASSI, Héctor Walter","",8,"","",""
Unión Cívica Radical,"BANFI, Karina Veronica","",8,"","",""
Frente para la Victoria - PJ,"BARDEGGIA, Luis María","",8,"","",""
Unión Cívica Radical,"BARLETTA, Mario Domingo","",8,"","",""
Frente para la Victoria - PJ,"BARRETO, Jorge Rubén","",8,"","",""
Frente para la Victoria - PJ,"BASTERRA, Luis Eugenio","",8,"","",""
Unión Cívica Radical,"BAZZE, Miguel Ángel","",8,"","",""
Trabajo y Dignidad,"BERMEJO, Sixto Osvaldo Observación: INCORPORADO EL 01/03/16.","",6,1,"",""
BG Juan B. Bustos,"BERNABEY, Ramón Ernesto","",6,2,"",""
Unión PRO,"BESADA, Alicia Irma Observación: INCORPORADA EL 01/03/16.","",7,"","",""
"Federal Unidos por una NuevaArgentina","BEVILACQUA, Gustavo","",8,"","",""
Compromiso Federal,"BIANCHI, Ivana María","",7,"",1,""
Partido Socialista,"BINNER, Hermes Juan","",8,"","",""
Unión Cívica Radical,"BORSANI, Luis Gustavo","",8,"","",""
Justicialista,"BOSSIO, Diego Luis","",8,"","",""
PTS - Frente de Izquierda,"BREGMAN, Myriam Teresa","",7,1,"",""
Unidos por una Nueva Argentina,"BREZZO, María Eugenia Observación: INCORPORADA EL 01/03/16.","",7,"","",""
Frente para la Victoria - PJ,"BRITEZ, María Cristina","",8,"","",""
"Fte. Cívico y Social deCatamarca","BRIZUELA DEL MORAL, Eduardo Segundo","",7,"",1,""
Unidos por una Nueva Argentina,"BRÜGGE, Juan Fernando Observación: INCORPORADO EL 01/03/16.","",7,"","",""
Unión PRO,"BUIL, Sergio Omar","",6,1,1,""
Unión Cívica Radical,"BURGOS, María Gabriela","",8,"","",""
Frente para la Victoria - PJ,"CABANDIÉ, Juan","",8,"","",""
Unión PRO,"CÁCERES, Eduardo Augusto","",8,"","",""
Unidos por una Nueva Argentina,"CALLERI, Agustín Santiago Observación: INCORPORADO EL 01/03/16.","",6,1,"",""
"Federal Unidos por una NuevaArgentina","CAMAÑO, Graciela","",7,1,"",""
Peronismo para la Victoria,"CARLOTTO, Remo Gerardo","",7,1,"",""
Frente para la Victoria - PJ,"CARMONA, Guillermo Ramón","",8,"","",""
Frente para la Victoria - PJ,"CAROL, Analuz Ailén","",7,"",1,""
Coalición Cívica,"CARRIÓ, Elisa María Avelina","",7,"",1,""
Frente para la Victoria - PJ,"CARRIZO, Nilda Mabel","",8,"","",""
Unión Cívica Radical,"CARRIZO, María Soledad","",8,"","",""
Unión Cívica Radical,"CARRIZO, Ana Carla","",8,"","",""
Del Bicentenario,"CASAÑAS, Juan Francisco","",8,"","",""
Partido Bloquista de San Juan,"CASELLES, Graciela María","",7,"",1,""
Frente para la Victoria - PJ,"CASTAGNETO, Carlos Daniel","",8,"","",""
Frente para la Victoria - PJ,"CASTRO, Sandra Daniela","",8,"","",""
Juntos por Argentina,"CAVIGLIA, Franco Agustín Observación: - Incorporado el 15/03/16 -","",6,"","",""
Frente para la Victoria - PJ,"CIAMPINI, José Alberto","",8,"","",""
Partido Socialista,"CICILIANI, Alicia Mabel","",5,2,1,""
Frente para la Victoria - PJ,"CIGOGNA, Luis Francisco Jorge","",8,"","",""
Frente para la Victoria - PJ,"CLERI, Marcos","",8,"","",""
"B. del Frente de la ConcordiaMisionero","CLOSS, Maurice Fabian","",6,2,"",""
Unión PRO,"CONESA, Eduardo Raúl Observación: INCORPORADO EL 01/03/16.","",7,"","",""
Frente para la Victoria - PJ,"CONTI, Diana Beatriz","",8,"","",""
Partido Demócrata Progresista,"COPES, Ana Isabel Observación: INCORPORADA EL 01/03/16.","",7,"","",""
Unión Cívica Radical,"COSTA, Eduardo Raúl","",8,"","",""
Libres del Sur,"COUSINET, Graciela Observación: INCORPORADA EL 01/03/16.","",6,1,"",""
Unión por Entre Ríos,"CREMER DE BUSTI, María Cristina","",8,"","",""
Unión Cívica Radical,"D'AGOSTINO, Jorge Marcelo","",8,"","",""
"Federal Unidos por una NuevaArgentina","DAER, Héctor Ricardo","",7,1,"",""
Justicialista,"DAVID, Néstor Javier","",8,"","",""
"Federal Unidos por una NuevaArgentina","DE MENDIGUREN, José Ignacio","",8,"","",""
Frente para la Victoria - PJ,"DE PEDRO, Eduardo Enrique","",8,"","",""
Peronismo para la Victoria,"DE PONTI, Lucila María","",8,"","",""
Frente para la Victoria - PJ,"DE VIDO, Julio","",7,1,"",""
Frente para la Victoria - PJ,"DEPETRI, Edgardo Fernando","",8,"","",""
Frente para la Victoria - PJ,"DI STÉFANO, Daniel","",8,"","",""
Frente para la Victoria - PJ,"di TULLIO, Juliana","",6,2,"",""
Frente para la Victoria - PJ,"DIAZ ROIG, Juan Carlos","",8,"","",""
Unión Cívica Radical,"DINDART, Julián","",7,1,"",""
Frente para la Victoria - PJ,"DOÑATE, Claudio Martín","",7,1,"",""
Libres del Sur,"DONDA PÉREZ, Victoria Analía","",8,"","",""
Unión PRO,"DURAND CORNEJO, Guillermo Mario","",8,"","",""
Partido Socialista,"DURÉ, Lucila Beatriz Observación: INCORPORADA EL 01/03/16.","",7,"","",""
Unión Cívica Radical,"ECHEGARAY, Alejandro Carlos Augusto","",8,"","",""
"Federal Unidos por una NuevaArgentina","EHCOSOR, María Azucena","",8,"","",""
Frente para la Victoria - PJ,"ESTEVEZ, Gabriela Beatriz","",8,"","",""
Juntos por Argentina,"FABIANI, Eduardo Alberto","",6,2,"",""
Justicialista,"FERNÁNDEZ MENDÍA, Gustavo Rodolfo","",8,"","",""
Peronismo para la Victoria,"FERREYRA, Araceli Susana Del Rosario","",8,"","",""
Frente para la Victoria - PJ,"FRANA, Silvina Patricia","",8,"","",""
"B. del Frente de la ConcordiaMisionero","FRANCO, Jorge Daniel","",8,"","",""
Frente para la Victoria - PJ,"FURLAN, Francisco Abel","",8,"","",""
Frente para la Victoria - PJ,"GAILLARD, Ana Carolina","",7,"","",1
Frente para la Victoria - PJ,"GALLARDO, Miriam Graciela del Valle","",8,"","",""
Frente para la Victoria - PJ,"GARCÍA, María Teresa","",8,"","",""
Frente para la Victoria - PJ,"GARRÉ, Nilda Celia","",8,"","",""
Unión PRO,"GARRETÓN, Facundo","",8,"","",""
Unión PRO,"GAYOL, Yanina Celeste","",8,"","",""
Frente para la Victoria - PJ,"GERVASONI, Lautaro","",7,1,"",""
Unión Cívica Radical,"GIMÉNEZ, Patricia Viviana","",8,"","",""
Frente para la Victoria - PJ,"GIOJA, José Luis","",8,"","",""
Juntos por Argentina,"GIUSTOZZI, Rubén Darío","",8,"","",""
Unión Cívica Radical,"GOICOECHEA, Horacio","",8,"","",""
Frente para la Victoria - PJ,"GOMEZ BULL, Mauricio Ricardo","",8,"","",""
Frente para la Victoria - PJ,"GONZÁLEZ, Josefina Victoria","",8,"","",""
Unión PRO,"GONZÁLEZ, Gladys Esther","",8,"","",""
Unión PRO,"GONZÁLEZ, Álvaro Gustavo","",7,"",1,""
Frente para la Victoria - PJ,"GRANA, Adrián Eduardo","",8,"","",""
Frente para la Victoria - PJ,"GRANADOS, Dulce","",6,2,"",""
"Federal Unidos por una NuevaArgentina","GRANDINETTI, Alejandro Ariel","",6,2,"",""
Peronismo para la Victoria,"GROSSO, Leonardo","",8,"","",""
Frente para la Victoria - PJ,"GUERIN, María Isabel","",8,"","",""
Unión Cívica Radical,"GUTIERREZ, Héctor María","",8,"","",""
Juntos por Argentina,"GUZMÁN, Sandro Adrián","",8,"","",""
Peronismo para la Victoria,"GUZMÁN, Andrés Ernesto Observación: INCORPORADO EL 01/03/16.","",7,"","",""
Solidario SI,"HELLER, Carlos Salomón","",8,"","",""
Unión Cívica Radical,"HERNÁNDEZ, Martín Osvaldo","",8,"","",""
Justicialista,"HERRERA, Luis Beder","",3,"",5,""
Frente Cívico por Santiago,"HERRERA, José Alberto","",6,"",2,""
Unión PRO,"HERS CABRAL, Anabella Ruth","",8,"","",""
Peronismo para la Victoria,"HORNE, Silvia Renee Observación: INCORPORADA EL 01/03/16.","",7,"","",""
Unión PRO,"HUCZAK, Stella Maris Observación: INCORPORADA EL 01/03/16.","",7,"","",""
Frente para la Victoria - PJ,"HUSS, Juan Manuel","",8,"","",""
Frente para la Victoria - PJ,"IGON, Santiago Nicolás","",8,"","",""
Unión PRO,"INCICCO, Lucas Ciriaco","",8,"","",""
Justicialista,"ISA, Evita Nélida","",3,"",5,""
"Fte. Cívico y Social deCatamarca","JUÁREZ, Myrian del Valle","",8,"","",""
Frente Cívico por Santiago,"JUÁREZ, Manuel Humberto","",7,"",1,""
Frente para la Victoria - PJ,"KICILLOF, Axel","",8,"","",""
Frente para la Victoria - PJ,"KIRCHNER, Máximo Carlos","",5,3,"",""
Justicialista,"KOSINER, Pablo Francisco Juan","",7,"",1,""
Unión Cívica Radical,"KRONEBERGER, Daniel Ricardo","",8,"","",""
Frente para la Victoria - PJ,"KUNKEL, Carlos Miguel","",8,"","",""
Trabajo y Dignidad,"LAGORIA, Elia Nelly","",7,1,"",""
Frente para la Victoria - PJ,"LARROQUE, Andrés","",8,"","",""
Unión PRO,"LASPINA, Luciano Andrés","",8,"","",""
"Federal Unidos por una NuevaArgentina","LAVAGNA, Marco","",8,"","",""
Unión PRO,"LIPOVETZKY, Daniel Andrés","",8,"","",""
"Federal Unidos por una NuevaArgentina","LITZA, Mónica Edith Observación: INCORPORADA EL 01/03/16.","",7,"","",""
Frente para la Victoria - PJ,"LLANOS, Ana","",8,"","",""
Unión PRO,"LOPARDO, María Paula","",7,"","",""
"Fte. de Izquierda y de losTrabajadores","LÓPEZ, Pablo Sebastián","",7,1,"",""
Unión PRO,"LÓPEZ KOENIG, Leandro Gastón","",8,"","",""
Unión PRO,"LOSPENNATO, Silvia Gabriela","",8,"","",""
Frente para la Victoria - PJ,"LOTTO, Inés Beatriz","",8,"","",""
Compromiso Federal,"LUSQUIÑOS, Luis Bernardo Observación: INCORPORADO EL 01/03/16.","",6,"","",1
Justicialista,"MACÍAS, Oscar Alberto","",7,"",1,""
Justicialista,"MADERA, Teresita","",8,"","",""
Unión PRO,"MAQUIEYRA, Martín Observación: INCORPORADO EL 01/03/16.","",7,"","",""
Unión Cívica Radical,"MARCUCCI, Hugo María","",7,"",1,""
Unión PRO,"MARTÍNEZ, Soledad","",8,"","",""
Unión Cívica Radical,"MARTÍNEZ, Silvia Alejandra","",8,"","",""
Movimiento Solidario Popular,"MARTÍNEZ, Oscar Anselmo","",7,1,"",""
Frente para la Victoria - PJ,"MARTÍNEZ, Norman Darío Observación: INCORPORADO EL 01/03/16.","",7,"","",""
Unión PRO,"MARTÍNEZ, Ana Laura","",8,"","",""
Justicialista,"MARTÍNEZ CAMPOS, Gustavo José","",8,"","",""
Coalición Cívica,"MARTÍNEZ VILLADA, Leonor María","",8,"","",""
Frente para la Victoria - PJ,"MASIN, María Lucila","",8,"","",""
"Federal Unidos por una NuevaArgentina","MASSA, Sergio Tomás","",7,1,"",""
"Federal Unidos por una NuevaArgentina","MASSETANI, Vanesa Laura","",7,1,"",""
Libres del Sur,"MASSO, Federico Augusto Observación: INCORPORADO EL 01/03/16.","",7,"","",""
Unión PRO,"MASSOT, Nicolás María","",8,"","",""
Frente para la Victoria - PJ,"MAZURE, Liliana Amalia","",8,"","",""
Frente para la Victoria - PJ,"MENDOZA, Sandra Marcela","",7,"",1,""
Frente para la Victoria - PJ,"MENDOZA, Mayra Soledad","",8,"","",""
Frente para la Victoria - PJ,"MERCADO, Verónica Elizabeth","",8,"","",""
Unión Cívica Radical,"MESTRE, Diego Matías","",8,"","",""
Justicialista,"MIRANDA, Pedro Rubén","",8,"","",""
Unión PRO,"MOLINA, Karina Alejandra","",8,"","",""
Unión Cívica Radical,"MONFORT, Marcelo Alejandro","",8,"","",""
Unión PRO,"MONZÓ, Emilio","",8,"","",""
"Federal Unidos por una NuevaArgentina","MORALES, Mariana Elizabet","",8,"","",""
"Federal Unidos por una NuevaArgentina","MOREAU, Cecilia","",8,"","",""
Frente para la Victoria - PJ,"MORENO, Carlos Julio","",8,"","",""
"Federal Unidos por una NuevaArgentina","MOYANO, Juan Facundo","",8,"","",""
Unión Cívica Radical,"NANNI, Miguel","",8,"","",""
Frente Cívico por Santiago,"NAVARRO, Graciela","",7,"",1,""
Unidos por una Nueva Argentina,"NAZARIO, Adriana Mónica","",8,"","",""
Unión Cívica Radical,"NEGRI, Mario Raúl","",8,"","",""
Unión PRO,"NUÑEZ, José Carlos","",7,1,"",""
Frente Cívico por Santiago,"OLIVA, Cristian Rodolfo","",4,"",4,""
Unión Cívica Radical,"OLIVARES, Héctor Enrique","",8,"","",""
Salta Somos Todos,"OLMEDO, Alfredo Horacio","",6,2,"",""
Primero Tucumán,"ORELLANA, José Fernando","",8,"","",""
"Federal Unidos por una NuevaArgentina","PASSO, Marcela Fabiana","",7,1,"",""
Unión Cívica Radical,"PASTORI, Luis Mario","",8,"","",""
Frente Cívico por Santiago,"PASTORIZA, Mirta Ameliana","",7,"",1,""
Unión PRO,"PATIÑO, José Luis Observación: INCORPORADO EL 01/03/16.","",7,"","",""
Frente para la Victoria - PJ,"PEDRINI, Juan Manuel","",8,"","",""
Compromiso con San Juan,"PEÑALOZA MARIANETTI, Marìa Florencia Observación: INCORPORADA EL 1°/06/16.","",2,"","",""
Concertación FORJA,"PEREYRA, Juan Manuel","",8,"","",""
"Federal Unidos por una NuevaArgentina","PÉREZ, Raúl Joaquín","",8,"","",""
Frente para la Victoria - PJ,"PÉREZ, Martín Alejandro","",7,1,"",""
Unión Cívica Radical,"PETRI, Luis Alfonso","",7,1,"",""
"Federal Unidos por una NuevaArgentina","PITIOT, Carla Betina","",8,"","",""
"Fte. de Izquierda y de losTrabajadores","PITROLA, Néstor Antonio","",7,1,"",""
"Cultura, Educación y Trabajo","PLAINI, Francisco Omar","",8,"","",""
Avanzar San Luis,"POGGI, Claudio Javier","",7,"",1,""
Unión PRO,"PRETTO, Pedro Javier","",7,1,"",""
"Fte. Cívico y Social deCatamarca","QUINTAR, Amado","",4,"",4,""
Frente para la Victoria - PJ,"RACH QUIROGA, Analía Alexandra","",8,"","",""
Diálogo y Trabajo,"RAFFO, Julio César Observación: JURÓ EL 01/03/16. INCORPORADO EL08/03/16.","",6,"",1,""
Frente para la Victoria - PJ,"RAMOS, Alejandro Ariel","",8,"","",""
Frente para la Victoria - PJ,"RAVERTA, María Fernanda","",8,"","",""
Frente para la Victoria - PJ,"RECALDE, Héctor Pedro","",8,"","",""
Unión Cívica Radical,"RICCARDO, José Luis","",7,"","",1
"B. del Frente de la ConcordiaMisionero","RISKO, Silvia Lucrecia","",5,"",3,""
