BLOQUES,DIPUTADOS,"",P,A,L,M.O
Frente Cívico por Santiago,"ABDALA DE MATARAZZO, Norma Amanda","",8,"",2,""
Frente para la Victoria - PJ,"ABRAHAM, Alejandro","",10,"","",""
Unión PRO,"ACERENZA, Samanta María Celeste","",10,"","",""
Unión Cívica Radical,"ALBORNOZ, Gabriela Romina Observación: INCORPORADA EL 01/03/16.","",9,"","",""
"Federal Unidos por una NuevaArgentina","ALEGRE, Gilberto Oscar","",10,"","",""
Unión Cívica Radical,"ALFONSÍN, Ricardo","",10,"","",""
"Federal Unidos por una NuevaArgentina","ALONSO, Horacio Fernando Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"ÁLVAREZ RODRIGUEZ, María Cristina","",9,"","",1
Unión PRO,"AMADEO, Eduardo Pablo","",9,"",1,""
Compromiso Federal,"ARENAS, Berta Hortensia","",9,1,"",""
Proyecto Sur,"ARGUMEDO, Alcira Susana","",10,"","",""
Frente para la Victoria - PJ,"ARRIETA, Gustavo Héctor Observación: INCORPORADO EL 15/03/16.","",7,1,"",""
Unión Cívica Radical,"AUSTIN, Brenda Lis Observación: INCORPORADA EL 18/05/16","",5,"","",""
Unión PRO,"BALBO, Elva Susana","",9,"",1,""
Unión PRO,"BALDASSI, Héctor Walter","",10,"","",""
Unión Cívica Radical,"BANFI, Karina Veronica","",10,"","",""
Frente para la Victoria - PJ,"BARDEGGIA, Luis María","",10,"","",""
Unión Cívica Radical,"BARLETTA, Mario Domingo","",9,1,"",""
Frente para la Victoria - PJ,"BARRETO, Jorge Rubén","",9,1,"",""
Frente para la Victoria - PJ,"BASTERRA, Luis Eugenio","",10,"","",""
Unión Cívica Radical,"BAZZE, Miguel Ángel","",10,"","",""
Trabajo y Dignidad,"BERMEJO, Sixto Osvaldo Observación: INCORPORADO EL 01/03/16.","",8,1,"",""
BG Juan B. Bustos,"BERNABEY, Ramón Ernesto","",7,3,"",""
Unión PRO,"BESADA, Alicia Irma Observación: INCORPORADA EL 01/03/16.","",9,"","",""
"Federal Unidos por una NuevaArgentina","BEVILACQUA, Gustavo","",10,"","",""
Compromiso Federal,"BIANCHI, Ivana María","",9,"",1,""
Partido Socialista,"BINNER, Hermes Juan","",10,"","",""
Unión Cívica Radical,"BORSANI, Luis Gustavo","",10,"","",""
Justicialista,"BOSSIO, Diego Luis","",10,"","",""
PTS - Frente de Izquierda,"BREGMAN, Myriam Teresa","",9,1,"",""
Unidos por una Nueva Argentina,"BREZZO, María Eugenia Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"BRITEZ, María Cristina","",10,"","",""
"Fte. Cívico y Social deCatamarca","BRIZUELA DEL MORAL, Eduardo Segundo","",9,"",1,""
Unidos por una Nueva Argentina,"BRÜGGE, Juan Fernando Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Unión PRO,"BUIL, Sergio Omar","",8,1,1,""
Unión Cívica Radical,"BURGOS, María Gabriela","",10,"","",""
Frente para la Victoria - PJ,"CABANDIÉ, Juan","",10,"","",""
Unión PRO,"CÁCERES, Eduardo Augusto","",10,"","",""
Unidos por una Nueva Argentina,"CALLERI, Agustín Santiago Observación: INCORPORADO EL 01/03/16.","",8,1,"",""
"Federal Unidos por una NuevaArgentina","CAMAÑO, Graciela","",9,1,"",""
Peronismo para la Victoria,"CARLOTTO, Remo Gerardo","",8,2,"",""
Frente para la Victoria - PJ,"CARMONA, Guillermo Ramón","",10,"","",""
Frente para la Victoria - PJ,"CAROL, Analuz Ailén","",9,"",1,""
Coalición Cívica,"CARRIÓ, Elisa María Avelina","",9,"",1,""
Frente para la Victoria - PJ,"CARRIZO, Nilda Mabel","",10,"","",""
Unión Cívica Radical,"CARRIZO, María Soledad","",10,"","",""
Unión Cívica Radical,"CARRIZO, Ana Carla","",10,"","",""
Del Bicentenario,"CASAÑAS, Juan Francisco","",9,1,"",""
Partido Bloquista de San Juan,"CASELLES, Graciela María","",8,"",2,""
Frente para la Victoria - PJ,"CASTAGNETO, Carlos Daniel","",10,"","",""
Frente para la Victoria - PJ,"CASTRO, Sandra Daniela","",10,"","",""
Juntos por Argentina,"CAVIGLIA, Franco Agustín Observación: - Incorporado el 15/03/16 -","",6,"",2,""
Frente para la Victoria - PJ,"CIAMPINI, José Alberto","",10,"","",""
Partido Socialista,"CICILIANI, Alicia Mabel","",7,2,1,""
Frente para la Victoria - PJ,"CIGOGNA, Luis Francisco Jorge","",10,"","",""
Frente para la Victoria - PJ,"CLERI, Marcos","",10,"","",""
"B. del Frente de la ConcordiaMisionero","CLOSS, Maurice Fabian","",8,2,"",""
Unión PRO,"CONESA, Eduardo Raúl Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"CONTI, Diana Beatriz","",10,"","",""
Partido Demócrata Progresista,"COPES, Ana Isabel Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Unión Cívica Radical,"COSTA, Eduardo Raúl","",10,"","",""
Libres del Sur,"COUSINET, Graciela Observación: INCORPORADA EL 01/03/16.","",8,1,"",""
Unión por Entre Ríos,"CREMER DE BUSTI, María Cristina","",10,"","",""
Unión Cívica Radical,"D'AGOSTINO, Jorge Marcelo","",10,"","",""
"Federal Unidos por una NuevaArgentina","DAER, Héctor Ricardo","",9,1,"",""
Justicialista,"DAVID, Néstor Javier","",10,"","",""
"Federal Unidos por una NuevaArgentina","DE MENDIGUREN, José Ignacio","",10,"","",""
Frente para la Victoria - PJ,"DE PEDRO, Eduardo Enrique","",10,"","",""
Peronismo para la Victoria,"DE PONTI, Lucila María","",9,1,"",""
Frente para la Victoria - PJ,"DE VIDO, Julio","",8,2,"",""
Frente para la Victoria - PJ,"DEPETRI, Edgardo Fernando","",10,"","",""
Frente para la Victoria - PJ,"DI STÉFANO, Daniel","",9,1,"",""
Frente para la Victoria - PJ,"di TULLIO, Juliana","",8,2,"",""
Frente para la Victoria - PJ,"DIAZ ROIG, Juan Carlos","",9,1,"",""
Unión Cívica Radical,"DINDART, Julián","",8,2,"",""
Frente para la Victoria - PJ,"DOÑATE, Claudio Martín","",9,1,"",""
Libres del Sur,"DONDA PÉREZ, Victoria Analía","",10,"","",""
Unión PRO,"DURAND CORNEJO, Guillermo Mario","",10,"","",""
Partido Socialista,"DURÉ, Lucila Beatriz Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Unión Cívica Radical,"ECHEGARAY, Alejandro Carlos Augusto","",10,"","",""
"Federal Unidos por una NuevaArgentina","EHCOSOR, María Azucena","",10,"","",""
Frente para la Victoria - PJ,"ESTEVEZ, Gabriela Beatriz","",10,"","",""
Juntos por Argentina,"FABIANI, Eduardo Alberto","",8,2,"",""
Justicialista,"FERNÁNDEZ MENDÍA, Gustavo Rodolfo","",10,"","",""
Peronismo para la Victoria,"FERREYRA, Araceli Susana Del Rosario","",9,"","",1
